name,market_value,goals,assists,contribution
Martin Jörgensen,11.51293546492023,2,3,5
Giampiero Pinzi,11.51293546492023,5,5,10
Cristiano Lupatelli,11.51293546492023,0,0,0
John Mensah,10.819798284210286,0,0,0
Simone Perrotta,12.611541086966115,2,1,3
Nicola Legrottaglie,12.611541086966115,3,1,4
Ivan Pelizzoli,10.12667110305036,0,0,0
Walter Samuel,12.899222326086994,3,0,3
Jonathan Zebina,12.429220196836383,0,0,0
Cesare Bovo,11.51293546492023,2,3,5
Damiano Ferronetti,12.206077645517674,0,0,0
Marius Stankevicius,10.12667110305036,0,3,3
Anthony Seric,12.206077645517674,0,0,0
Dario Dainelli,11.918397239722838,3,1,4
Matuzalém,10.12667110305036,1,6,7
Roberto Guana,12.611541086966115,0,2,2
Ferdinando Coppola,10.819798284210286,0,0,0
Cristian Zaccardo,11.918397239722838,3,2,5
Alessandro Frara,12.206077645517674,2,0,2
Stefano Lucchini,11.225256725762893,2,2,4
Francesco Tavano,10.12667110305036,4,2,6
Tommaso Rocchi,10.819798284210286,3,1,4
Giuseppe Sculli,11.51293546492023,1,2,3
Luca Castellazzi,11.51293546492023,0,0,0
Martin Jiranek,10.12667110305036,1,0,1
Ricardo Verón,12.611541086966115,0,2,2
Erjon Bogdani,12.206077645517674,2,0,2
David Di Michele,10.12667110305036,2,1,3
Christian Obodo,12.765691290604371,1,0,1
Manuele Blasi,11.225256725762893,0,0,0
Georgios Karagounis,13.815511557963774,2,1,3
Abdoulaye Faye,12.429220196836383,0,0,0
Mamadou Niang,12.429220196836383,3,2,5
Mohamed Sissoko,12.611541086966115,0,0,0
Fabricio Coloccini,11.225256725762893,2,1,3
Gaetano D'Agostino,11.225256725762893,4,2,6
Isaac Okoronkwo,10.819798284210286,0,0,0
Luciano,12.206077645517674,1,4,5
Dennis Souza,11.225256725762893,3,1,4
Fabrice Pancrate,12.206077645517674,0,0,0
Yohann Pelé,12.429220196836383,0,0,0
Grégory Cerdan,13.122365377402328,0,0,0
Yoann Poulard,12.899222326086994,0,0,0
Marco Caligiuri,12.429220196836383,2,2,4
Andreas Lasnik,12.524530013005734,4,1,5
Danko Lazovic,13.122365377402328,1,2,3
Patrick Helmes,13.815511557963774,0,0,0
Bas Sibum,12.206077645517674,0,1,1
Dorus de Vries,12.765691290604371,0,0,0
Marco Donadel,12.206077645517674,1,1,2
Antonio Rosati,11.51293546492023,0,0,0
Axel Bellinghausen,11.51293546492023,3,3,6
Andreas Isaksson,12.765691290604371,0,0,0
Per Mertesacker,13.815511557963774,10,4,14
Giuseppe Colucci,11.918397239722838,0,2,2
Mario Santana,10.12667110305036,4,3,7
Stefano Morrone,11.51293546492023,0,0,0
Maurizio Domizzi,12.206077645517674,2,7,9
Kai Herdling,12.899222326086994,5,5,10
Luca Antonini,11.918397239722838,3,1,4
Angelo Palombo,12.206077645517674,2,6,8
Simone Farelli,10.819798284210286,0,0,0
Charles Takyi,10.12667110305036,3,1,4
Luciano Zauri,11.51293546492023,0,0,0
Henok Goitom,12.206077645517674,6,1,7
Maurizio Lanzaro,10.819798284210286,0,0,0
Orhan Ak,11.51293546492023,0,2,2
Karel D'Haene,11.51293546492023,5,3,8
Cihan Haspolatli,12.899222326086994,1,3,4
Gabriel Tamas,11.51293546492023,0,0,0
Hasan Ücüncü,12.206077645517674,0,0,0
Gökhan Zan,13.122365377402328,0,0,0
Erdinc Yavuz,11.51293546492023,0,1,1
Mehmet Yilmaz,12.206077645517674,0,0,0
Ibrahima Yattara,10.819798284210286,0,0,0
Gino Coutinho,12.206077645517674,0,0,0
Tuncay Sanli,13.304686600863562,1,5,6
Sancak Kaplan,12.899222326086994,0,1,1
